$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
   15 104    27    27  12.1 -15.0 12.17  2.17  0.19  0.69  12.1  0.25 0.022  0.27   273    26    33   215    64   151     0  0.00     0     0   119     0 1.833 0.104  55.6     0     0   375   391  0.24  0.71  22.6  37.9  0.50  1.00  0.50  0.61  0.38  0.38  0.38   0.3  0.00  0.00  0.00  0.28
   15 105    28    28  14.4 -15.0 12.29  2.29  0.19  0.56  11.6  0.25 0.022  0.28   282    24    35   223    65   158     0  0.00     0     0   127     0 2.779 0.127  56.6     0     0   375   390  0.26  0.70  24.1  32.1  0.41  1.00  0.59  0.69  0.38  0.38  0.38   0.2  0.00  0.00  0.00  0.27
   15 106    29    29  15.7 -15.0 12.42  2.42  0.20  0.66  11.6  0.26 0.023  0.28   292    23    37   232    67   165     0  0.00     0     0   132     0 3.738 0.155  57.1     0     0   375   389  0.28  0.71  26.1  40.6  0.49  1.00  0.51  0.62  0.39  0.39  0.39   0.1  0.00  0.00  0.00  0.27
   15 107    30    30  10.9 -15.0 12.51  2.51  0.20  0.77  13.3  0.26 0.023  0.29   302    23    39   241    68   173     0  0.00     0     0   140     0 4.722 0.175  58.0     0     0   375   387  0.30  0.72  47.7  84.8  0.59  0.83  0.41  0.55  0.41  0.41  0.41   0.6  0.00  0.00  0.00  0.26
   15 108    31    31   5.5 -15.0 12.56  2.56  0.20  1.35  21.7  0.27 0.024  0.29   322    22    42   257    69   188     0  0.00     0     0   154     0 4.722 0.185  60.0     0     0   375   387  0.30  0.72  42.3  89.8  2.43  0.00  0.00  0.00  0.39  0.39  0.39   2.0  0.00  0.45  0.00  0.25
   15 109    32    32   6.4 -15.0 12.61  2.61  0.21  1.41  27.4  0.27 0.024  0.30   346    22    47   277    70   206     0  0.00     0     0   172     0 4.722 0.199  62.2     0     0   375   386  0.31  0.73  39.6  67.8  2.14  0.00  0.00  0.00  0.36  0.36  0.36   2.0  0.00  0.36  0.00  0.25
   15 110    33    33   8.1 -15.0 12.68  2.68  0.21  1.47  33.0  0.28 0.025  0.31   376    22    52   301    73   229     0  0.00     0     0   193     0 4.722 0.218  64.1     0     0   375   386  0.32  0.73  38.4  53.9  1.94  0.00  0.00  0.00  0.34  0.34  0.34   2.0  0.00  0.19  0.00  0.24
   15 111    34    34  10.7 -15.0 12.77  2.77  0.22  1.53  37.2  0.29 0.026  0.32   409    22    58   329    77   252     0  0.00     0     0   215     0 4.722 0.246  65.4     0     0   375   385  0.33  0.73  38.0  46.5  1.88  0.00  0.00  0.00  0.31  0.31  0.31   2.0  0.00  0.00  0.00  0.24
   15 112    35    35  11.2 -15.0 12.86  2.86  0.23  1.60  39.9  0.31 0.028  0.34   444    22    64   358    81   278     0  0.00     0     0   238     0 4.722 0.278  66.5     0     0   375   384  0.34  0.74  37.9  44.9  2.03  0.00  0.00  0.00  0.27  0.27  0.27   2.0  0.00  0.00  0.00  0.23
   15 113    36    36   6.1 -15.0 12.91  2.91  0.24  1.67  36.9  0.32 0.028  0.34   478    22    70   386    82   304     0  0.00     0     0   264     0 4.722 0.298  68.3     0     0   375   383  0.35  0.74  37.3  57.8  1.83  0.00  0.00  0.00  0.24  0.24  0.24   2.0  0.00  0.39  0.00  0.22
   15 114    37    37   8.8 -15.0 12.99  2.99  0.24  1.64  46.1  0.33 0.029  0.36   519    22    77   420    85   335     0  0.00     0     0   294     0 4.722 0.329  69.9     0     0   375   383  0.36  0.74  37.0  41.5  0.96  0.08  0.04  0.26  0.23  0.23  0.23   1.3  0.00  0.12  0.00  0.22
   15 115    38    38  11.4 -15.0 13.08  3.08  0.25  1.66  45.3  0.34 0.031  0.37   560    21    84   454    90   364     0  0.00     0     0   321     0 4.722 0.373  70.6     0     0   375   382  0.37  0.75  38.5  41.9  0.94  0.11  0.06  0.27  0.21  0.21  0.21   0.8  0.00  0.00  0.00  0.21
