$PLANT NITROGEN ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  NUAC  TNAD SDNAD  RNAD  CNAD  LNAD  SNAD  HNAD   HIND  RSNAD  SNNPD SNN0D SNN1D  RN%D  LN%D  SN%D   HN%D  SDN%D   VN%D LN%RD SN%RD RN%RD  VCN%  VMN% NUPRD NDEMD
   15 122    45    45  10.5 13.70  10.3  12.3  0.00  2.43   9.8   6.5   0.1   0.0   0.00   0.00   0.00 .0700 .0109 1.878 5.416 1.481   0.00   0.00   1.42  0.93  1.00  0.97   5.7  0.72  2.00  0.64
   15 123    46    46  13.2 13.81  11.1  13.0  0.00  2.56  10.5   6.9   0.1   0.0   0.00   0.00   0.00 .0700 .0121 1.883 5.457 1.455   0.00   0.00   1.43  0.94  1.00  0.98   5.6  0.72  2.00  0.77
   15 124    47    47  17.5 13.96  12.1  14.0  0.00  2.70  11.3   7.5   0.1   0.0   0.00   0.00   0.00 .0700 .0138 1.888 5.496 1.421   0.00   0.00   1.47  0.95  1.00  0.98   5.6  0.72  2.00  0.97
   15 125    48    48  19.4 14.12  13.3  15.2  0.00  2.91  12.3   8.1   0.1   0.0   0.00  -0.00   0.00 .0700 .0158 1.892 5.528 1.382   0.00   0.00   1.47  0.97  1.00  0.99   5.5  0.71  2.00  1.20
   15 126    49    49  11.6 14.21  14.0  15.9  0.00  3.07  12.9   8.4   0.1   0.0   0.00   0.19   0.00 0.099 .0171 1.895 5.546 1.359   0.00   0.00   1.47  0.97  1.00  0.99   5.5  0.71  2.00  0.78
   15 127    50    50  13.0 14.32  14.7  16.6  0.00  3.27  13.3   8.7   0.2   0.0   0.00   0.22   0.00 0.132 .0186 1.898 5.561 1.333   0.00   0.00   1.42  0.98  1.00  0.99   5.5  0.71  2.00  0.71
   15 128    51    51  15.5 14.45  15.6  17.4  0.00  3.51  13.9   9.0   0.2   0.0   0.00   0.26   0.00 0.171 .0205 1.901 5.572 1.302   0.00   0.00   1.38  0.99  1.00  0.99   5.4  0.71  2.00  0.85
   15 129    52    52  14.2 14.57  16.3  18.0  0.00  3.68  14.4   9.3   0.2   0.0   0.00   0.24   0.00 0.207 .0224 1.902 5.578 1.273   0.00   0.00   1.35  1.00  1.00  0.99   5.4  0.71  2.00  0.67
   15 130    53    53  13.2 14.68  16.9  18.7  0.00  3.91  14.8   9.6   0.2   0.0   0.00   0.23   0.00 0.240 .0242 1.904 5.571 1.246   0.00   0.00   1.31  1.00  1.00  1.00   5.3  0.70  2.00  0.69
   15 131    54    54  13.7 14.79  17.7  19.5  0.00  4.19  15.3   9.9   0.2   0.0   0.00   0.24   0.00 0.275 .0262 1.905 5.540 1.218   0.00   0.00   1.25  1.00  1.00  1.00   5.3  0.70  2.00  0.79
   15 132    55    55  18.0 14.94  18.8  20.4  0.00  4.50  15.9  10.4   0.3   0.0   0.00   0.19   0.00 0.303 .0290 1.904 5.499 1.181   0.00   0.00   1.21  1.00  1.00  1.00   5.2  0.70  2.00  1.02
   15 133    56    56  17.8 15.09  20.1  21.8  0.00  4.71  17.1  11.2   0.3   0.0   0.00   0.00   0.00 0.303 .0320 1.902 5.459 1.145   0.00   0.00   1.23  1.00  1.00  1.00   5.1  0.70  1.50  1.34
   15 134    57    57  15.0 15.22  21.7  23.3  0.00  4.91  18.4  11.9   0.3   0.0   0.00   0.32   0.00 0.350 .0346 1.899 5.425 1.113   0.00   0.00   1.26  1.00  1.00  1.00   5.1  0.69  1.96  1.56
   15 135    58    58  11.4 15.31  22.6  24.2  0.00  5.12  19.1  12.4   0.3   0.0   0.00   0.24   0.00 0.386 .0367 1.897 5.398 1.090   0.00   0.00   1.25  1.00  1.00  1.00   5.0  0.69  2.00  0.96
   15 136    59    59  12.8 15.42  23.9  25.5  0.00  5.43  20.1  13.0   0.4   0.0   0.00   0.27   0.00 0.427 .0392 1.895 5.369 1.063   0.00   0.00   1.23  1.00  1.00  1.00   5.0  0.69  1.79  1.32
   15 137    60    60  14.1 15.54  25.3  26.8  0.00  5.65  21.2  13.7   0.4   0.0   0.00   0.30   0.00 0.472 .0420 1.893 5.336 1.033   0.00   0.00   1.24  1.00  1.00  1.00   4.9  0.69  1.42  1.38
   15 138    61    61  15.4 15.66  27.0  28.4  0.00  5.99  22.4  14.5   0.5   0.0   0.00   0.32   0.00 0.520 .0453 1.890 5.301 1.001   0.00   0.00   1.22  1.00  1.00  1.00   4.9  0.69  1.13  1.64
   15 139    62    62  13.9 15.78  28.4  29.8  0.00  6.24  23.5  15.2   0.5   0.0   0.00   0.29   0.00 0.565 .0484 1.887 5.248 0.992   0.00   0.00   1.22  1.00  1.00  1.00   4.8  0.68  1.18  1.38
   15 140    63    63   8.4 15.85  28.8  30.2  0.00  6.40  23.8  15.6   0.5   0.0   0.00   0.05   0.00 0.573 .0503 1.885 5.211 0.986   0.00   0.00   1.20  1.00  1.00  1.00   4.8  0.68  2.00  0.46
   15 141    64    64   9.8 15.93  29.9  31.3  0.00  6.61  24.7  16.1   0.6   0.0   0.00   0.06   0.00 0.583 .0527 1.883 5.169 0.980   0.00   0.00   1.20  1.00  1.00  1.00   4.7  0.68  2.00  1.12
   15 142    65    65   9.9 16.01  31.2  32.6  0.00  6.92  25.7  16.8   0.6   0.0   0.00   0.06   0.00 0.592 .0551 1.881 5.126 0.973   0.00   0.00   1.18  1.00  1.00  1.00   4.7  0.68  1.72  1.30
   15 143    66    66  11.7 16.11  33.4  34.8  0.00  7.22  27.6  18.0   0.7   0.0   0.00   0.07   0.00 0.604 .0581 1.878 5.076 0.965   0.00   0.00   1.20  1.00  1.00  1.00   4.6  0.67  1.12  2.19
