$GROWTH ASPECTS SECONDARY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  RSTD LAIPD LAISD  LAID  CHTD SDWAD SNWLD SNWSD  H#AD  HWUD SHRTD  PTFD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D RL10D
   15 115    38    38  11.4 13.08  1.38 0.368  0.02 0.343 8.869  21.5 4.722 0.373     0     0  5.41  0.75 0.370  1.06  0.22  0.05  0.01  0.00  0.00  0.00  0.00  0.00  0.00
   15 116    39    39  15.1 13.21  1.40 0.393  0.02 0.368 9.402  21.4 4.722 0.436     0     0  5.38  0.75 0.386  1.13  0.23  0.05  0.01  0.00  0.00  0.00  0.00  0.00  0.00
   15 117    40    40  14.5 13.33  1.43 0.418  0.02 0.393 10.11  21.4 4.722 0.501     0     0  5.36  0.75 0.401  1.22  0.25  0.06  0.01  0.00  0.00  0.00  0.00  0.00  0.00
   15 118    41    41   8.3 13.40  1.45 0.430  0.02 0.405 10.80  21.4 4.722 0.542     0     0  5.35  0.76 0.410  1.28  0.27  0.07  0.01  0.00  0.00  0.00  0.00  0.00  0.00
   15 119    42    42   7.0 13.45  1.46 0.439  0.02 0.414 11.20  21.3 4.722 0.578     0     0  5.35  0.76 0.417  1.36  0.29  0.07  0.02  0.00  0.00  0.00  0.00  0.00  0.00
   15 120    43    43  10.4 13.54  1.48 0.458  0.02 0.433 11.53  21.3 4.722 0.636     0     0  5.35  0.76 0.428  1.43  0.32  0.08  0.02  0.00  0.00  0.00  0.00  0.00  0.00
   15 121    44    44   8.6 13.61  1.50 0.472  0.02 0.447 12.03  21.3 4.722 0.688     0     0  5.35  0.76 0.437  1.43  0.33  0.08  0.02  0.00  0.00  0.00  0.00  0.00  0.00
   15 122    45    45  10.5 13.70  1.52 0.492  0.02 0.467 12.45  21.3 4.722 0.753     0     0  5.36  0.77 0.449  1.46  0.35  0.10  0.03  0.00  0.00  0.00  0.00  0.00  0.00
   15 123    46    46  13.2 13.81  1.54 0.517  0.02 0.492 12.96  21.3 4.722 0.838     0     0  5.37  0.77 0.463  1.49  0.37  0.11  0.03  0.00  0.00  0.00  0.00  0.00  0.00
   15 124    47    47  17.5 13.96  1.58 0.551  0.02 0.526 13.61  21.3 4.722 0.957     0     0  5.39  0.77 0.481  1.52  0.39  0.12  0.04  0.00  0.00  0.00  0.00  0.00  0.00
   15 125    48    48  19.4 14.12  1.62 0.592  0.02 0.567 14.48  21.3 4.722 1.096     0     0  5.41  0.77 0.502  1.56  0.43  0.15  0.05  0.00  0.00  0.00  0.00  0.00  0.00
