$GROWTH FACTOR OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
!........DATES.......  TEMP STAGE  ...PHENOLOGY....  .......PHOTOSYNTHESIS.......  .....GROWTH.....  ..TILLERS. WATER STRESS DETERMINANTS N STRESS DETERMINANTS       
@YEAR DOY   DAS   DAP TMEAN  GSTD    DU VRNFD DYLFD TFGEM  WFGE  TFPD  WFPD  NFPD CO2FD RSFPD  TFGD  WFGD  NFGD  WFTD  NFTD WAVRD WUPRD  SWXD  EOPD  SNXD LN%RD SN%RD RN%RD      
   15 112    35    35  11.2  12.9   8.6  0.00  0.23  0.59  0.00  0.00  0.00  0.27  0.04  0.00  0.00  0.00  0.27  0.00  0.27 44.89  2.03  37.9   0.8  65.2  0.79  0.79  0.92
   15 113    36    36   6.1  12.9   4.7  0.00  0.22  0.80  0.00  0.00  0.00  0.24  0.04  0.00  0.39  0.00  0.24  0.00  0.24 57.79  1.83  37.3   0.6  64.6  0.80  0.81  0.93
   15 114    37    37   8.8  13.0   6.8  0.00  0.22  0.69  0.00  0.00  0.04  0.23  0.04  0.00  0.12  0.26  0.23  0.08  0.23 41.47  0.96  37.0   0.9  64.4  0.82  0.85  0.94
   15 115    38    38  11.4  13.1   9.0  0.00  0.21  0.58  0.00  0.00  0.06  0.21  0.04  0.00  0.00  0.27  0.21  0.11  0.21 41.88  0.94  38.5   0.9  64.0  0.83  0.86  0.94
   15 116    39    39  15.1  13.2  11.9  0.00  0.21  0.44  0.00  0.00  0.00  0.19  0.04  0.00  0.00  0.00  0.19  0.00  0.19 50.37  1.48  40.5   0.8  63.6  0.85  0.89  0.94
   15 117    40    40  14.5  13.3  11.6  0.00  0.20  0.46  0.00  0.00  0.00  0.17  0.04  0.00  0.00  0.00  0.17  0.00  0.17 41.45  1.96  46.1   1.1  62.9  0.87  0.93  0.95
   15 118    41    41   8.3  13.4   6.7  0.00  0.20  0.71  0.00  0.00  0.00  0.15  0.04  0.00  0.17  0.00  0.15  0.00  0.15 75.63  4.21  51.9   0.7  62.2  0.88  0.95  0.96
   15 119    42    42   7.0  13.5   5.6  0.00  0.19  0.76  0.00  0.00  0.00  0.13  0.04  0.00  0.30  0.00  0.13  0.00  0.13 56.69  3.45  50.4   0.9  61.9  0.89  0.96  0.96
   15 120    43    43  10.4  13.5   8.4  0.00  0.19  0.63  0.00  0.00  0.00  0.12  0.04  0.00  0.00  0.00  0.12  0.00  0.12 56.93  3.72  50.5   0.9  61.6  0.91  0.98  0.97
   15 121    44    44   8.6  13.6   7.1  0.00  0.18  0.69  0.00  0.00  0.00  0.11  0.04  0.00  0.14  0.00  0.11  0.00  0.11 99.90  9.41  75.3   0.4  61.1  0.92  1.00  0.97
   15 122    45    45  10.5  13.7   8.6  0.00  0.18  0.62  0.00  0.00  0.00  0.09  0.04  0.00  0.00  0.00  0.09  0.00  0.09 96.54  4.82  72.5   0.8  60.8  0.93  1.00  0.97
   15 123    46    46  13.2  13.8  11.0  0.00  0.17  0.51  0.00  0.00  0.00  0.08  0.04  0.00  0.00  0.00  0.08  0.00  0.08 95.91  4.61  79.2   0.8  60.2  0.94  1.00  0.98
   15 124    47    47  17.5  14.0  14.5  0.00  0.17  0.34  0.00  0.00  0.00  0.07  0.04  0.00  0.00  0.00  0.07  0.00  0.07 70.25  4.04  69.6   1.0  59.1  0.95  1.00  0.98
   15 125    48    48  19.4  14.1  16.2  0.00  0.16  0.26  0.00  0.00  0.00  0.05  0.04  0.00  0.00  0.00  0.05  0.00  0.05 45.37  2.71  70.4   1.6  58.4  0.97  1.00  0.99
   15 126    49    49  11.6  14.2   9.7  0.00  0.16  0.58  0.00  0.00  0.00  0.04  0.04  0.00  0.00  0.00  0.04  0.00  0.04 95.02  4.81  89.4   0.9  57.3  0.97  1.00  0.99
   15 127    50    50  13.0  14.3  11.0  0.00  0.15  0.52  0.00  0.00  0.00  0.03  0.04  0.00  0.00  0.00  0.03  0.00  0.03 59.17  3.66  76.8   1.3  56.1  0.98  1.00  0.99
   15 128    51    51  15.5  14.5  13.2  0.00  0.15  0.42  0.00  0.00  0.00  0.02  0.04  0.00  0.00  0.00  0.02  0.00  0.02 43.51  3.10  71.1   1.6  55.4  0.99  1.00  0.99
   15 129    52    52  14.2  14.6  12.1  0.00  0.15  0.47  0.00  0.00  0.00  0.01  0.04  0.00  0.00  0.00  0.01  0.00  0.01 65.56  4.76  74.7   1.1  54.8  1.00  1.00  0.99
   15 130    53    53  13.2  14.7  11.3  0.00  0.14  0.51  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 47.78  3.74  72.6   1.5  54.4  1.00  1.00  1.00
   15 131    54    54  13.7  14.8  11.8  0.00  0.14  0.49  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 37.63  3.22  70.6   1.9  54.0  1.00  1.00  1.00
   15 132    55    55  18.0  14.9  15.5  0.00  0.13  0.32  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 30.41  2.82  69.8   2.3  53.5  1.00  1.00  1.00
   15 133    56    56  17.8  15.1  15.4  0.00  0.13  0.33  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 48.36  4.43  75.8   1.6  52.8  1.00  1.00  1.00
   15 134    57    57  15.0  15.2  13.1  0.00  0.13  0.44  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 52.32  5.03  75.7   1.4  51.8  1.00  1.00  1.00
   15 135    58    58  11.4  15.3  10.0  0.00  0.12  0.58  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 52.81  5.34  75.0   1.4  50.6  1.00  1.00  1.00
   15 136    59    59  12.8  15.4  11.2  0.00  0.12  0.53  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 34.85  3.76  73.4   2.1  50.0  1.00  1.00  1.00
   15 137    60    60  14.1  15.5  12.5  0.00  0.12  0.47  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 46.24  5.27  73.7   1.6  49.0  1.00  1.00  1.00
   15 138    61    61  15.4  15.7  13.7  0.00  0.11  0.42  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 27.80  3.38  72.1   2.6  47.9  1.00  1.00  1.00
   15 139    62    62  13.9  15.8  12.4  0.00  0.11  0.48  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 48.30  3.94  87.3   1.8  46.6  1.00  1.00  1.00
   15 140    63    63   8.4  15.9   8.4  0.00  0.00  0.71  0.00  0.00  0.00  0.00  0.04  0.00  0.16  0.00  0.00  0.00  0.00 99.90  9.25 105.6   1.0  45.5  1.00  1.00  1.00
   15 141    64    64   9.8  15.9   9.8  0.00  0.00  0.65  0.00  0.00  0.00  0.00  0.04  0.00  0.02  0.00  0.00  0.00  0.00 72.68  6.89 105.1   1.4  45.3  1.00  1.00  1.00
   15 142    65    65   9.9  16.0   9.9  0.00  0.00  0.65  0.00  0.00  0.00  0.00  0.04  0.00  0.01  0.00  0.00  0.00  0.00 45.20  4.82  96.6   2.1  44.3  1.00  1.00  1.00
   15 143    66    66  11.7  16.1  11.7  0.00  0.00  0.57  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 45.51  5.02  97.8   2.1  43.2  1.00  1.00  1.00
   15 144    67    67  12.1  16.2  12.1  0.00  0.00  0.55  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 50.56  5.85  97.4   1.9  41.3  1.00  1.00  1.00
   15 145    68    68  14.6  30.2  14.5  0.00  0.00  0.46  0.00  0.00  0.00  0.00  0.04  0.00  0.00  0.00  0.00  0.00  0.00 39.64  4.80  96.6   2.4  39.4  0.99  0.98  0.99
   15 146    69    69  11.6  30.7  11.6  0.00  0.00  0.58  0.00  0.00  0.00  0.01  0.04  0.00  0.00  0.00  0.01  0.00  0.01 46.32  5.93  95.2   2.1  37.9  0.98  0.95  0.98
